package_name,version,timestamp,total_risks_found,risk_types,severities,categories,max_severity,raw_output
@aszxc/npmexp,1.0.1,2025-12-21T04:20:00.265138,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@aszxc/npmexp,1.0.1,2025-12-21T04:21:31.662718,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@aszxc/npmexp,1.0.1,2025-12-21T04:22:24.598942,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@aszxc/npmexp,1.0.1,2025-12-21T04:25:55.493029,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@angular/core,16.2.6,2025-12-21T04:26:28.157377,1,potential_dependency_confusion,medium,supply_chain_attack,medium,"[{""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@angular/core' depends on non-scoped package 'tslib'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@angular/core,16.2.6,2025-12-21T04:29:32.288979,1,potential_dependency_confusion,medium,supply_chain_attack,medium,"[{""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@angular/core' depends on non-scoped package 'tslib'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@arkadium/eagle-user-client,9.1.1,2025-12-23T23:35:02.843273,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@arkadium/eagle-user-client,9.99.999,2025-12-23T23:35:32.055514,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@att-bit/duc.components.cardshell,10.0.0,2025-12-23T23:35:53.989409,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@att-bit/duc.components.cardshell,10.0.1,2025-12-23T23:36:11.964289,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@angular/core,16.2.6,2025-12-23T23:37:05.343886,1,potential_dependency_confusion,medium,supply_chain_attack,medium,"[{""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@angular/core' depends on non-scoped package 'tslib'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@arkadium/eagle-user-client,9.1.1,2025-12-23T23:44:29.719007,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@arkadium/eagle-user-client,9.99.999,2025-12-23T23:44:58.324336,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@att-bit/duc.components.cardshell,10.0.0,2025-12-23T23:45:20.274297,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@att-bit/duc.components.cardshell,10.0.1,2025-12-23T23:45:38.154024,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
